,,,,,,,,
Mesin,Kode Part,Part,Qty ,Category,Penggantian Terakhir,Lifetime (Bulan),Penggantian Selanjutnya,STATUS
SIG 5,SPSVSC0009,"Auger Pitch 9 dia. 8,72 x 431 SUS 316",8,Vital,29/06/2024,24,29/06/2026,437 Hari Lagi
SIG 5,SPSVKF0005,"Slitting Shim 0,2 MM",9,Vital,11/10/2024,12,11/10/2025,176 Hari Lagi
SIG 5,SPSPTP0001,Thermocouple RTD PT-100-0 dia. 5 x 48 (Cable - 500 MM),,Vital,07/02/2025,36,07/02/2028,1025 Hari Lagi
SIG 5,SPMESL0288,V Ring Seal VA020 NBR,8,Vital,,6,,
SIG 5,SPSVHA0002,Heater 230 V 600 W Lokal,,Vital,17/09/2024,18,17/03/2026,333 Hari Lagi
SIG 5,SPMESL0287,V Ring Seal VA030 NBR,8,Vital,24/09/2024,12,24/09/2025,159 Hari Lagi
SIG 5,SPSVMD0002,Analog Output Module 6ES7-432-HF00-0AB0 Siemens,1,Essential,08/01/2024,18,08/07/2025,81 Hari Lagi
SIG 5,SPSVEN0002,Angle encoder OCD-DP1C-0012-S060-0CC p/n.54954074,1,Essential,30/01/2024,18,30/07/2025,103 Hari Lagi
SIG 5,SPMEBE0256,Ball Joint PHS 8,,Essential,23/03/2024,18,23/09/2025,158 Hari Lagi
SIG 5,SPMEBE0009,Bearing 6002 2Z,,Vital,02/05/2024,6,02/11/2024,Melewati Jadwal Penggantian
SIG 5,SPMEBE0394,Bearing 626 2Z,,Vital,08/02/2023,6,08/08/2023,Melewati Jadwal Penggantian
SIG 5,SPMEBE0436,Bearing 6904 2Z,,Vital,,,,
SIG 5,SPMEBE0345,Bearing HK 0509,,Vital,18/09/2024,3,18/12/2024,Melewati Jadwal Penggantian
SIG 5,SPMEBE0355,Bearing HK 2020 INA,,Vital,28/02/2023,3,28/05/2023,Melewati Jadwal Penggantian
SIG 5,SPMEBE0378,Bearing NAX 3030Z Iko,,Vital,,,,
SIG 5,SPSVCN0013,Close Slip Ring Unit SR085-6-4-V14 (p/n 54953601),,,07/07/2022,36,07/07/2025,80 Hari Lagi
SIG 5,SPSVKF0001,Cross Knife p/n 56269651 420 x 29 x 6,,,19/05/2023,12,19/05/2024,Melewati Jadwal Penggantian
SIG 5,SPMEFT0007,Fitting QSS-6 Festo,,,20/02/2024,6,20/08/2024,Melewati Jadwal Penggantian
SIG 5,SPMECU0043,Flexible Coupling MJT-20C-BL NBK,,,20/09/2024,16,20/01/2026,277 Hari Lagi
SIG 5,SPMETA0001,"Isolasi Listrik 20 MM x 3/4"" x 0,18 M",,Desirable,26/04/2024,,,
SIG 5,SPECMC0008,MCB NC45N C16 16A 1 Ph Merlin Gerin,,,03/08/2022,,,
SIG 5,SPMEOR0130,O Ring 25 x 4,,,,,,
SIG 5,SPMEOR0135,O Ring 28 x 4 Vitton,,,11/12/2024,6,11/06/2025,54 Hari Lagi
SIG 5,SPMEOR0146,O Ring 42 x 4,,,30/05/2024,1,30/06/2024,Melewati Jadwal Penggantian
SIG 5,SPSVGE0013,Planetary Gear Box Cross Knife u/ shaft motor 19mm,,,,,,
SIG 5,SPMERL0053,Power Device Cartridge G32A-A10-VD DC5-24 Omron,,,22/04/2024,,,
SIG 5,SPSVSS0002,Product Sensor CM18-12NPP-KC1 Sick,2,,03/04/2024,18,03/10/2025,168 Hari Lagi
SIG 5,SPIPCN0002,Rotary Connector 4A Model 205 (Incld 592 & 595),,,16/05/2024,,,
SIG 5,SPMESL0283,"Seal Bin Hopper dia. 4"" Silicone",1,,02/05/2024,,,
SIG 5,SPSVCT0008,Simodrive 6SN1118-0AE11-0AA1 Siemens,1,,21/11/2022,36,21/11/2025,217 Hari Lagi
SIG 5,SPSVCT0006,Simodrive IP 6SN1123-1AB00-OHA1 Siemens,1,,30/11/2022,36,30/11/2025,226 Hari Lagi
SIG 5,SPSVKF0002,Slitting Blade 35 x 9 x 9,,,20/12/2024,,,
SIG 5,SPMEFT0043,Speed Control Fitting GRLA-1/8-QS-6-RS-B Festo,,,06/05/2024,36,06/05/2027,748 Hari Lagi
SIG 5,SPSVTP0006,Thermocouple RTD PT100-0 dia. 1.88 x 1.6 x 3.97 x 155 MM,,,08/08/2024,36,08/08/2027,842 Hari Lagi
SIG 6,SPSVSC0009,"Auger Pitch 9 dia. 8,72 x 431 SUS 316",8,Vital,29/06/2024,24,29/06/2026,437 Hari Lagi
SIG 6,SPSVKF0005,"Slitting Shim 0,2 MM",9,Vital,28/07/2023,12,28/07/2024,Melewati Jadwal Penggantian
SIG 6,SPSPTP0001,Thermocouple RTD PT-100-0 dia. 5 x 48 (Cable - 500 MM),,Vital,12/01/2021,,,
